NAME,CATEGORY,ADDRESS
BGR HYDROLAB TESTING CENTER,Water Treatment Equipment and Services,"Mindanao Avenue , Quezon City 1116 Metro Manila "
1 Audio Lights And Sounds  Corporation,Lighting,"23, Colt Street, Rancho Estate 1, Concepcion Dos, Marikina City 1800 Metro Manila "
1-Adler International Enterprises,Lighting Fixtures,"572 Tolentino Street, Pasay City 1300 Metro Manila "
10 Inch Lights & Sounds,Lighting,"1089, Primero De Mayo Street, Tondo, City of Manila 1000 Metro Manila "
101 Repair Shop,Air Conditioning Equipment and Systems,"54, National Highway, Visayan Village, Purok Aquarius, Visayan Village, Tagum City, Davao Del Norte "
102 Trading,Electric Equipment - Service and Repairing,"Block 01 Lot 06, Phase 1, 2nd Street, Balubad Settlement, Barangay Nangka, Marikina City 1820 Metro Manila "
1rotary Trading  Corporation,Air Conditioning Equipment and Systems,"J Aguilar Avenue, Las Pinas City, Metro Manila "
1rotary Trading,Air Conditioning Equipment and Systems,"Suite 1003, The Infinity, 26th Street, Bonifacio Global City, Taguig City 1632  Metro Manila "
1st Corinthians Appliance Services,Electric Equipment - Service and Repairing,"B57 L5 CAA Road, Phase 3, Las Pinas City, Metro Manila "
215 Luxury Car Aircon Services,Electric Equipment - Service and Repairing,"51-B Agno Street, Banawe, Quezon City 1113 Metro Manila "
3h Electrical Supply,Electric Supplies,"Provl Rd, Cabatuan 3315 Isabela "
3k Aircool,Air Conditioning,"Gold Tree, 14A Sta. Rita Corner Canal Road, SBFZ, Subic 2222 Zambales "
620 Enterprises,Electric Equipment - Service and Repairing,"9580 Kalayaan Avenue, Guadalupe, Makati City, Metro Manila "
6th Av Video Resources,Video Cassette Tapes-Sales and Rental,"Angsco Mansion, Caloocan City 1400 Metro Manila "
7 J Verdejo Enterprises,Electric Transformers,"641 Lenoria Street, Paco, City of Manila 1007 Metro Manila "
7 Soul Pro Light And Sounds,Lighting,"Pipino Street, Marikina City, Metro Manila "
920 Enterprise,Air Conditioning Equipment and Systems,"Door 5, Nicris Building,  M.J. Cuenco Avenue, Barangay Carreta, Cebu City 6000 Cebu "
A & D Beta House,Video Cassette Tapes-Sales and Rental,"Tindalo Av, Bacolod City, Negros Occidental "
A & F Lights & Lamps,Lamps,"17, VMCC Building, Granada Street corner Santolan Road, Valencia, Quezon City 1112 Metro Manila "
A & S Lamps,Lamps,"942 Aurora Boulevard, Brgy Mangga, Quezon City 1109  Metro Manila "
"A & S Lamps Company, Incorporated",Electric Lamp Bulbs and Tubes,"Fuyong Mansion 901, 901, Ongpin Street, Binondo, City of Manila, Metro Manila "
A & S Lamps,Lighting Fixtures,"G/F, Alabang Town Center,  Alabang - Zapote Road, Muntinlupa City, Metro Manila "
A & S Lamps Store,Lamps,"317 El Grande Avenue, Paranaque City, Metro Manila "
A A Electrical Supply,Electric Supplies,"C&L Building,  Luzuriaga-Lacson Street, Bacolod City, Negros Occidental "
A And F Lights And Shades,Lamp Shades,"288 N.W. Dao Street, Marikina Heights, Marikina City 1810 Metro Manila "
A And S Lamps,Lamps,"332 EDSA, Pasay City 1300 Metro Manila "
A And S Lamps,Lighting,"4/F, Building B, SM Megamall,  EDSA corner Julia Vargas Avenue, Mandaluyong City 1550 Metro Manila "
A And S Lamps,Lighting,"Syncamore Arcade,  Ayala Alabang, Las Pinas City 1740 Metro Manila "
A And S Lamps,Lamps,"Sycamore Arcade,  Alabang - Zapote Road, Las Pinas City, Metro Manila "
A And S Lamps,Lamps,"G/F, SM City Fairview,  Quirino Highway Corner Regalado Avenue, Fairview, Quezon City 1118 Metro Manila "
A Evaristo Enterprises,Water Treatment Equipment and Services,"Alson Building, 15 National Road, Muntinlupa City, Metro Manila "
A G International Company,Electric Supplies,"1775-G M. Adriatico Street, City of Manila 1000 Metro Manila "
A+ Enterprises,Water Treatment Equipment and Services,"Nokris Building,  A.C. Cortes Avenue, Mandaue City, Cebu "
A-Class Electrical Supply,Electric Supplies,"667, Evangelista Street, Quiapo, City of Manila 1011 Metro Manila "
A. De Guzman Electrical And Motor Rewinding Shop,Electric Transformers,"4 F. Lazaro Street, Canumay, Valenzuela City 1440 Metro Manila "
A. R. Line Materials Center,Electric Supplies,"112 K-J Street corner Kamias Road, Quezon City 1100 Metro Manila "
A. Simeon Trading,Hardware,"174 MacArthur Highway, Marulas, Valenzuela City 1440 Metro Manila "
A.C. Appliance Service Provider,Electric Equipment - Service and Repairing,"6-A J.D. Jimenez Street, Pinagkaisahan, Cubao, Quezon City 1109 Metro Manila "
Ab-Aire Specialists,Electric Equipment - Service and Repairing,"3804, Daffodil Street, Paranaque City, Metro Manila "
Abad Electrical Services,Electric Equipment - Service and Repairing,"812 A. Bonifacio Avenue, Pag-ibig sa Nayon, Quezon City 1115 Metro Manila "
ABB Commercial Designs,Power Systems,"Canlubang, Calamba City 4027 Laguna "
Abbex System,Hydraulic Equipment Repairing,"Suite 301, Dona Lolita Building, 363 Rizal Avenue Ext., Caloocan City 1400 Metro Manila "
Abra Electronic Company,"Electrical Equipment, Appliance and Component","Capitulacion, Bangued 2800 Abra "
Abstract Lamps And Lighting House,Lamp Shades,"B30-31 2nd Floor, Alabang Home Depot, 103-117 Alabang Zapote Road Corner Filinvest Avenue, Muntinlupa City, Metro Manila "
"Abtelcom Electrical & Communications, Incorporated","Electrical Equipment, Appliance and Component","Aurora Tower Building,  Aurora Boulevard, Quezon City, Metro Manila "
